index,0,1,2,3,4,Filter_9_Value_1,Filter_9_dontcares_1
0,0,0,0,0,0,True,False
1,0,0,0,0,1,False,False
2,0,0,0,1,0,False,False
3,0,0,0,1,1,False,False
4,0,0,1,0,0,False,False
5,0,0,1,0,1,False,False
6,0,0,1,1,0,False,False
7,0,0,1,1,1,False,False
8,0,1,0,0,0,False,False
9,0,1,0,0,1,False,False
10,0,1,0,1,0,False,False
11,0,1,0,1,1,False,False
12,0,1,1,0,0,False,True
13,0,1,1,0,1,False,True
14,0,1,1,1,0,False,True
15,0,1,1,1,1,False,True
16,1,0,0,0,0,False,False
17,1,0,0,0,1,False,False
18,1,0,0,1,0,False,False
19,1,0,0,1,1,False,False
20,1,0,1,0,0,False,False
21,1,0,1,0,1,False,False
22,1,0,1,1,0,False,False
23,1,0,1,1,1,False,False
24,1,1,0,0,0,False,False
25,1,1,0,0,1,False,False
26,1,1,0,1,0,False,False
27,1,1,0,1,1,False,False
28,1,1,1,0,0,False,True
29,1,1,1,0,1,False,True
30,1,1,1,1,0,False,True
31,1,1,1,1,1,False,True
