index,0,1,2,3,4,Filter_7_Value_1,Filter_7_dontcares_1
0,0,0,0,0,0,True,False
1,0,0,0,0,1,True,False
2,0,0,0,1,0,False,False
3,0,0,0,1,1,False,True
4,0,0,1,0,0,False,False
5,0,0,1,0,1,False,False
6,0,0,1,1,0,False,False
7,0,0,1,1,1,False,True
8,0,1,0,0,0,False,False
9,0,1,0,0,1,False,False
10,0,1,0,1,0,False,False
11,0,1,0,1,1,False,True
12,0,1,1,0,0,False,False
13,0,1,1,0,1,False,False
14,0,1,1,1,0,False,False
15,0,1,1,1,1,False,True
16,1,0,0,0,0,True,False
17,1,0,0,0,1,True,False
18,1,0,0,1,0,True,False
19,1,0,0,1,1,True,True
20,1,0,1,0,0,True,False
21,1,0,1,0,1,True,False
22,1,0,1,1,0,False,False
23,1,0,1,1,1,False,True
24,1,1,0,0,0,False,False
25,1,1,0,0,1,False,False
26,1,1,0,1,0,False,False
27,1,1,0,1,1,False,True
28,1,1,1,0,0,False,False
29,1,1,1,0,1,False,False
30,1,1,1,1,0,False,False
31,1,1,1,1,1,False,True
