index,0,1,2,3,4,Filter_6_Value_1,Filter_6_dontcares_1
0,0,0,0,0,0,False,False
1,0,0,0,0,1,True,False
2,0,0,0,1,0,True,False
3,0,0,0,1,1,True,False
4,0,0,1,0,0,True,False
5,0,0,1,0,1,True,False
6,0,0,1,1,0,True,True
7,0,0,1,1,1,True,True
8,0,1,0,0,0,True,False
9,0,1,0,0,1,True,False
10,0,1,0,1,0,True,False
11,0,1,0,1,1,True,False
12,0,1,1,0,0,True,False
13,0,1,1,0,1,True,False
14,0,1,1,1,0,True,True
15,0,1,1,1,1,True,True
16,1,0,0,0,0,True,False
17,1,0,0,0,1,True,False
18,1,0,0,1,0,True,False
19,1,0,0,1,1,True,False
20,1,0,1,0,0,True,False
21,1,0,1,0,1,True,False
22,1,0,1,1,0,True,True
23,1,0,1,1,1,True,True
24,1,1,0,0,0,True,False
25,1,1,0,0,1,True,False
26,1,1,0,1,0,True,False
27,1,1,0,1,1,True,False
28,1,1,1,0,0,True,False
29,1,1,1,0,1,True,False
30,1,1,1,1,0,True,True
31,1,1,1,1,1,True,True
